algorithm,seed,exp_name,phase,args_id,n_train_domains,sample_size_per_domain,imbalance_type,train_envs,train_env_sizes,test_env,metric,model_selection,value
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,acc,best,0.7407
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,acc,final,0.73
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,loss,best,0.5309411585330963
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.2,loss,final,0.5675227642059326
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,acc,best,0.7315
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,acc,final,0.7162
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,loss,best,0.5606490075588226
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.3,loss,final,0.6092146933078766
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,acc,best,0.7235
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,acc,final,0.6992
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,loss,best,0.586906224489212
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.4,loss,final,0.6370002329349518
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,acc,best,0.7219
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,acc,final,0.6907
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,loss,best,0.5984852612018585
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.5,loss,final,0.6609917283058167
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,acc,best,0.7023
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,acc,final,0.6742
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,loss,best,0.640094518661499
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.6,loss,final,0.7068187296390533
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,acc,best,0.6934
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,acc,final,0.6612
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,loss,best,0.6671735048294067
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.7,loss,final,0.7315258085727692
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.8,acc,best,0.6893
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.8,acc,final,0.6513
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.8,loss,best,0.6866665482521057
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.8,loss,final,0.7594877481460571
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,acc,best,0.6907
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,acc,final,0.6482
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,loss,best,0.697311669588089
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,0.9,loss,final,0.7715255618095398
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,acc,best,0.6724
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,acc,final,0.626
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,loss,best,0.7348661422729492
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,1.0,loss,final,0.8162932395935059
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,avg_domain,acc,best,0.7159090909090908
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,worst_domain,acc,best,0.6724
erm,0,e0_repro_small,reproduction,f45326f5b38b7a46c1da64c6befa6ed2,4,,,"[0.1, 0.2, 0.5, 0.9]",,best_domain,acc,best,0.7602
