condition,algorithm,seed,lambda,domain_id,train_count,test_accuracy,loss,empirical_weight,deployment_weight,source,alpha_eval,head_domain_id,tail_domain_id,is_head_domain,is_tail_domain
long_tail_visible,erm,4,,0.9,200,0.2826,3.0811580419540405,0.025,0.25,main_eval,,0.1,0.9,0,1
balanced_visible,erm,2,,0.1,2000,0.741,0.5315586626529694,0.25,0.25,main_eval,,0.1,0.9,1,0
balanced_visible,erm,2,,0.2,2000,0.7327,0.5470575094223022,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,erm,2,,0.5,2000,0.6853,0.6330762505531311,0.25,0.25,main_eval,,0.1,0.9,0,0
balanced_visible,erm,2,,0.9,2000,0.6279,0.7446714043617249,0.25,0.25,main_eval,,0.1,0.9,0,1
missing_tail,iro,1,,0.1,6000,0.8581,0.47407327592372894,0.75,0.25,main_eval,,0.1,0.9,1,0
missing_tail,iro,1,,0.2,1500,0.7802,0.527181476354599,0.1875,0.25,main_eval,,0.1,0.9,0,0
missing_tail,iro,1,,0.5,500,0.6385,0.6680730283260345,0.0625,0.25,main_eval,,0.1,0.9,0,0
missing_tail,iro,1,,0.9,0,0.4925,0.8459224998950958,0.0,0.25,main_eval,,0.1,0.9,0,1
long_tail_visible,groupdro,0,,0.1,5000,0.8002,0.535994678735733,0.625,0.25,main_eval,,0.1,0.9,1,0
long_tail_visible,groupdro,0,,0.2,2000,0.7441,0.7117461860179901,0.25,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,groupdro,0,,0.5,800,0.6067,1.18013596534729,0.1,0.25,main_eval,,0.1,0.9,0,0
long_tail_visible,groupdro,0,,0.9,200,0.4129,1.8825233578681946,0.025,0.25,main_eval,,0.1,0.9,0,1
near_missing_tail,irm,2,,0.1,5800,0.7596,0.5626081824302673,0.725,0.25,main_eval,,0.1,0.9,1,0
near_missing_tail,irm,2,,0.2,1800,0.7255,0.668220043182373,0.225,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,irm,2,,0.5,350,0.6244,0.9944518804550171,0.04375,0.25,main_eval,,0.1,0.9,0,0
near_missing_tail,irm,2,,0.9,50,0.4781,1.4422631859779358,0.00625,0.25,main_eval,,0.1,0.9,0,1
missing_tail,irm,2,,0.1,6000,0.81,0.5113176703453064,0.75,0.25,main_eval,,0.1,0.9,1,0
missing_tail,irm,2,,0.2,1500,0.7531,0.7206205725669861,0.1875,0.25,main_eval,,0.1,0.9,0,0
