n_domains,sample_size,exponent,missing_tail_fraction,alpha,tradeoff,repetitions,reversal_probability,observed_tail_probability,mean_empirical_tail_weight,mean_deployment_gap,mean_empirical_gap,head_favored_empirical_wins,tail_favored_empirical_wins
10,32,0.5,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.12575332098075265,1000,0
10,32,1.0,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.1943829604744337,1000,0
10,32,2.0,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.33570644093513036,1000,0
10,32,0.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.1167838536506493,1000,0
10,32,0.5,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.17047609565047003,1000,0
10,32,1.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.23016978413862446,1000,0
10,32,2.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.347875694281209,1000,0
10,128,0.0,0.0,0.75,0.5,1000,0.026,1.0,0.0996484375,0.04999999999999982,0.05075218552058397,26,974
10,128,0.5,0.0,0.75,0.5,1000,0.871,1.0,0.06303125,0.04999999999999982,0.02913643313178734,871,129
10,128,1.0,0.0,0.75,0.5,1000,1.0,0.988,0.0340078125,0.04999999999999982,0.11497142722304414,1000,0
10,128,2.0,0.0,0.75,0.5,1000,1.0,0.567,0.00653125,0.04999999999999982,0.30859988904318725,1000,0
10,128,0.0,0.1,0.75,0.5,1000,0.643,0.0,0.0,0.04999999999999982,0.017175423309115086,643,357
10,128,0.5,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.07046261589347441,1000,0
10,128,1.0,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.15009211793872532,1000,0
10,128,2.0,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.31647890604772366,1000,0
10,128,0.0,0.2,0.75,0.5,1000,0.996,0.0,0.0,0.04999999999999982,0.06102156281606329,996,4
10,128,0.5,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.11656268159800973,1000,0
10,128,1.0,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.18315235411334493,1000,0
10,128,2.0,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.32543791923784715,1000,0
10,128,0.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.11658248458551514,1000,0
10,128,0.5,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.16450538844916507,1000,0
10,128,1.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.22031783069382035,1000,0
10,128,2.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.3328648942172574,1000,0
10,512,0.0,0.0,0.75,0.5,1000,0.0,1.0,0.100501953125,0.04999999999999982,0.049749430891078604,0,1000
10,512,0.5,0.0,0.75,0.5,1000,0.997,1.0,0.06282421875,0.04999999999999982,0.01830734394891617,997,3
10,512,1.0,0.0,0.75,0.5,1000,1.0,1.0,0.034228515625,0.04999999999999982,0.11135878380616261,1000,0
10,512,2.0,0.0,0.75,0.5,1000,1.0,0.968,0.006578125,0.04999999999999982,0.3103122750319469,1000,0
10,512,0.0,0.1,0.75,0.5,1000,0.838,0.0,0.0,0.04999999999999982,0.008672196079448734,838,162
10,512,0.5,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.06818332361396447,1000,0
10,512,1.0,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.14438221825407493,1000,0
10,512,2.0,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.3172488848947495,1000,0
10,512,0.0,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.062262462378300396,1000,0
10,512,0.5,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.10907614173224087,1000,0
10,512,1.0,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.1864561534429683,1000,0
10,512,2.0,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.32461784645503555,1000,0
10,512,0.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.11645804279441996,1000,0
10,512,0.5,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.1631716066335996,1000,0
10,512,1.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.21433617044247436,1000,0
10,512,2.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.3328040012444419,1000,0
10,2048,0.0,0.0,0.75,0.5,1000,0.0,1.0,0.099939453125,0.04999999999999982,0.05001846186992086,0,1000
10,2048,0.5,0.0,0.75,0.5,1000,1.0,1.0,0.0629599609375,0.04999999999999982,0.014746592788444793,1000,0
10,2048,1.0,0.0,0.75,0.5,1000,1.0,1.0,0.03432373046875,0.04999999999999982,0.11127871151143834,1000,0
10,2048,2.0,0.0,0.75,0.5,1000,1.0,1.0,0.006380859375,0.04999999999999982,0.31064599257015707,1000,0
10,2048,0.0,0.1,0.75,0.5,1000,0.987,0.0,0.0,0.04999999999999982,0.005715791534506774,987,13
10,2048,0.5,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.0704761186601547,1000,0
10,2048,1.0,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.13666678310647046,1000,0
10,2048,2.0,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.3174592762272604,1000,0
10,2048,0.0,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.06143641391362098,1000,0
10,2048,0.5,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.10145392863939472,1000,0
10,2048,1.0,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.19027155312179217,1000,0
10,2048,2.0,0.2,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.32453635594326113,1000,0
10,2048,0.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.11670114893500239,1000,0
10,2048,0.5,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.16203204431462387,1000,0
10,2048,1.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.21299156737549477,1000,0
10,2048,2.0,0.3,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.33253166789503197,1000,0
10,8192,0.0,0.0,0.75,0.5,1000,0.0,1.0,0.099750732421875,0.04999999999999982,0.049929445956366,0,1000
10,8192,0.5,0.0,0.75,0.5,1000,1.0,1.0,0.0630687255859375,0.04999999999999982,0.014424582202275823,1000,0
10,8192,1.0,0.0,0.75,0.5,1000,1.0,1.0,0.0342193603515625,0.04999999999999982,0.11121379807071474,1000,0
10,8192,2.0,0.0,0.75,0.5,1000,1.0,1.0,0.0064525146484375,0.04999999999999982,0.3105518785580041,1000,0
10,8192,0.0,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.005602761016020503,1000,0
10,8192,0.5,0.1,0.75,0.5,1000,1.0,0.0,0.0,0.04999999999999982,0.07055617105117985,1000,0
