n_domains,sample_size,exponent,missing_mass_epsilon,requested_missing_tail_fraction,alpha,tradeoff,repetitions,analytical_delta_id,simulated_lower_cvar,simulated_upper_cvar,simulated_interval_width,empirical_interval_width_mean,empirical_interval_width_p05,empirical_interval_width_p95,empirical_cvar_lower_mean,empirical_cvar_upper_mean
10,128,0.0,0.2,0.2,0.75,0.5,1000,0.8,0.5333333333333332,0.8833333333333332,0.35,0.06036647958564686,0.022827394523701094,0.09835756304831024,0.5446132751218873,0.6049025399214688
10,128,0.5,0.2,0.2,0.75,0.5,1000,0.8,0.5333333333333332,0.8833333333333332,0.35,0.11599341782440398,0.08443274853801169,0.15656098853773276,0.5156256313368036,0.6316190491612076
10,128,1.0,0.2,0.2,0.75,0.5,1000,0.8,0.5333333333333332,0.8833333333333332,0.35,0.1849945541364098,0.14580597643097648,0.22104906575381544,0.46495090040904474,0.6499454545454547
10,128,2.0,0.2,0.2,0.75,0.5,1000,0.8,0.5333333333333332,0.8833333333333332,0.35,0.3247291548095398,0.2997369528619529,0.34923353586144285,0.3252708451904601,0.6500000000000002
10,128,0.0,0.3,0.3,0.75,0.5,1000,1.0,0.47777777777777775,1.0,0.5222222222222223,0.11747525840747046,0.07988308240284606,0.1545050888572483,0.49831594055523587,0.6157911989627063
10,128,0.5,0.3,0.3,0.75,0.5,1000,1.0,0.47777777777777775,1.0,0.5222222222222223,0.16426965381752973,0.1349008166952419,0.21115942028985502,0.47181641624164034,0.6360860700591702
10,128,1.0,0.3,0.3,0.75,0.5,1000,1.0,0.47777777777777775,1.0,0.5222222222222223,0.219931951746493,0.1891745912579247,0.2643952826133677,0.4299811156844867,0.6499130674309799
10,128,2.0,0.3,0.3,0.75,0.5,1000,1.0,0.47777777777777775,1.0,0.5222222222222223,0.3336662858182002,0.31178560674495637,0.35404040404040404,0.3163337141817998,0.6500000000000002
10,128,0.0,0.0,0.0,0.9,0.5,1000,0.0,0.65,0.6999999999999998,0.04999999999999982,0.05034594691823418,0.014646464646464574,0.08472222222222225,0.6854846059151177,0.6351942145524394
10,128,0.5,0.0,0.0,0.9,0.5,1000,0.0,0.65,0.6999999999999998,0.04999999999999982,0.02242950295662252,0.008823529411764786,0.04999999999999993,0.6681348950753108,0.6499589947089949
10,128,1.0,0.0,0.0,0.9,0.5,1000,0.0,0.65,0.6999999999999998,0.04999999999999982,0.025883985261461476,0.0018518518518518823,0.06458333333333344,0.6300644105783559,0.6500000000000002
10,128,2.0,0.0,0.0,0.9,0.5,1000,0.0,0.65,0.6999999999999998,0.04999999999999982,0.18949208258949277,0.11294973544973563,0.275,0.4605079174105073,0.6500000000000002
10,128,0.0,0.1,0.1,0.9,0.5,1000,1.0,0.6444444444444444,1.0,0.3555555555555556,0.01872551884673463,0.005555555555555536,0.041269841269841456,0.6338972155372969,0.6388610050254829
10,128,0.5,0.1,0.1,0.9,0.5,1000,1.0,0.6444444444444444,1.0,0.3555555555555556,0.033213439152527356,0.005555555555555647,0.05009259259259267,0.6168373048950917,0.6499270337301589
10,128,1.0,0.1,0.1,0.9,0.5,1000,1.0,0.6444444444444444,1.0,0.3555555555555556,0.06471082358049145,0.0277777777777779,0.11186361947231512,0.5852891764195085,0.6500000000000002
10,128,2.0,0.1,0.1,0.9,0.5,1000,1.0,0.6444444444444444,1.0,0.3555555555555556,0.20859605370347908,0.1374503968253969,0.2805621693121693,0.44140394629652097,0.6500000000000002
10,128,0.0,0.2,0.2,0.9,0.5,1000,1.0,0.5888888888888888,1.0,0.4111111111111112,0.06261546244453586,0.026388888888888906,0.09666666666666679,0.5823281797550819,0.644943642199618
10,128,0.5,0.2,0.2,0.9,0.5,1000,1.0,0.5888888888888888,1.0,0.4111111111111112,0.08438133956072925,0.06111111111111123,0.10032679738562089,0.5656186604392707,0.6500000000000002
10,128,1.0,0.2,0.2,0.9,0.5,1000,1.0,0.5888888888888888,1.0,0.4111111111111112,0.10990942340843288,0.08194444444444449,0.14047619047619053,0.5400905765915671,0.6500000000000002
10,128,2.0,0.2,0.2,0.9,0.5,1000,1.0,0.5888888888888888,1.0,0.4111111111111112,0.2280664251939298,0.1636752136752137,0.28863756613756614,0.42193357480607024,0.6500000000000002
10,128,0.0,0.3,0.3,0.9,0.5,1000,1.0,0.5333333333333333,1.0,0.4666666666666667,0.11713665357287677,0.11655145929339471,0.14927203065134093,0.5310244200051275,0.6481610735780045
10,128,0.5,0.3,0.3,0.9,0.5,1000,1.0,0.5333333333333333,1.0,0.4666666666666667,0.1346253987408447,0.1166666666666667,0.15444444444444444,0.5153746012591552,0.6500000000000002
10,128,1.0,0.3,0.3,0.9,0.5,1000,1.0,0.5333333333333333,1.0,0.4666666666666667,0.15572999046922958,0.1351851851851853,0.1928112139917696,0.4942700095307704,0.6500000000000002
10,128,2.0,0.3,0.3,0.9,0.5,1000,1.0,0.5333333333333333,1.0,0.4666666666666667,0.2502207043061903,0.19440170940170937,0.29795321637426897,0.3997792956938097,0.6500000000000002
10,512,0.0,0.0,0.0,0.5,0.5,1000,0.0,0.5111111111111112,0.5611111111111111,0.04999999999999993,0.049345003619192015,0.013984718709421062,0.08663558246322638,0.5732624924000304,0.5239174887808385
10,512,0.5,0.0,0.0,0.5,0.5,1000,0.0,0.5111111111111112,0.5611111111111111,0.04999999999999993,0.0674542484126298,0.056089171603060636,0.07755524307547285,0.5154152863110253,0.5828666020244191
10,512,1.0,0.0,0.0,0.5,0.5,1000,0.0,0.5111111111111112,0.5611111111111111,0.04999999999999993,0.20843364693049174,0.15176014369680776,0.23874890234222157,0.4174504672518794,0.6258841141823711
10,512,2.0,0.0,0.0,0.5,0.5,1000,0.0,0.5111111111111112,0.5611111111111111,0.04999999999999993,0.40057769097222223,0.3936794704861111,0.4075737847222223,0.2494223090277778,0.6500000000000002
10,512,0.0,0.1,0.1,0.5,0.5,1000,0.2,0.5055555555555556,0.6157407407407408,0.11018518518518516,0.0070993899930735386,0.0004722429007936014,0.014914909685683231,0.532873814714013,0.5389266004682738
10,512,0.5,0.1,0.1,0.5,0.5,1000,0.2,0.5055555555555556,0.6157407407407408,0.11018518518518516,0.10519805021149707,0.08266498618724473,0.15478934840614617,0.4822861972216925,0.5874842474331896
10,512,1.0,0.1,0.1,0.5,0.5,1000,0.2,0.5055555555555556,0.6157407407407408,0.11018518518518516,0.2396440024292592,0.17777358949416344,0.254515581681592,0.3902244057775908,0.6298684082068501
10,512,2.0,0.1,0.1,0.5,0.5,1000,0.2,0.5055555555555556,0.6157407407407408,0.11018518518518516,0.40342241753472224,0.3965060763888889,0.4097439236111111,0.24657758246527778,0.6500000000000002
10,512,0.0,0.2,0.2,0.5,0.5,1000,0.4,0.45000000000000007,0.7111111111111111,0.26111111111111107,0.0606693628042461,0.027071466383920266,0.09612514590642622,0.49086273785960655,0.5515321006638527
10,512,0.5,0.2,0.2,0.5,0.5,1000,0.4,0.45000000000000007,0.7111111111111111,0.26111111111111107,0.16246948208337136,0.11122727549641191,0.17789018671201115,0.4382454120483381,0.6007148941317093
10,512,1.0,0.2,0.2,0.5,0.5,1000,0.4,0.45000000000000007,0.7111111111111111,0.26111111111111107,0.26014320023211857,0.25161131623775485,0.2698565764752212,0.37112010957847574,0.6312633098105941
10,512,2.0,0.2,0.2,0.5,0.5,1000,0.4,0.45000000000000007,0.7111111111111111,0.26111111111111107,0.4068699001736111,0.4007378472222222,0.4124565972222223,0.2431300998263889,0.6500000000000002
10,512,0.0,0.3,0.3,0.5,0.5,1000,0.6,0.3944444444444445,0.7972222222222222,0.4027777777777777,0.11652338420469271,0.11019459848112154,0.12294977083666958,0.45015079802377966,0.5666741822284723
10,512,0.5,0.3,0.3,0.5,0.5,1000,0.6,0.3944444444444445,0.7972222222222222,0.4027777777777777,0.19434342994539924,0.1876665381764473,0.20071994477611077,0.4101508603719087,0.604494290317308
10,512,1.0,0.3,0.3,0.5,0.5,1000,0.6,0.3944444444444445,0.7972222222222222,0.4027777777777777,0.27734753235158954,0.26927605010360617,0.285102938518372,0.3540752551148221,0.6314227874664116
10,512,2.0,0.3,0.3,0.5,0.5,1000,0.6,0.3944444444444445,0.7972222222222222,0.4027777777777777,0.4103003472222223,0.4046440972222223,0.4155002170138889,0.23969965277777777,0.6500000000000002
10,512,0.0,0.0,0.0,0.75,0.5,1000,0.0,0.5944444444444444,0.6444444444444443,0.04999999999999982,0.049749430891078604,0.04067906385206414,0.058964060907091116,0.6441018497971839,0.5943524189061052
10,512,0.5,0.0,0.0,0.75,0.5,1000,0.0,0.5944444444444444,0.6444444444444443,0.04999999999999982,0.01830734394891617,0.006175049303446578,0.04966826833146276,0.6086737192011333,0.6268947377569961
10,512,1.0,0.0,0.0,0.75,0.5,1000,0.0,0.5944444444444444,0.6444444444444443,0.04999999999999982,0.11135878380616261,0.09359460579684406,0.1265376984126985,0.5386412161938374,0.6500000000000002
10,512,2.0,0.0,0.0,0.75,0.5,1000,0.0,0.5944444444444444,0.6444444444444443,0.04999999999999982,0.3103122750319469,0.29594453569591694,0.32467837704106883,0.33968772496805316,0.6500000000000002
10,512,0.0,0.1,0.1,0.75,0.5,1000,0.4,0.5888888888888888,0.748148148148148,0.1592592592592592,0.008672196079448734,0.0007729926389173191,0.02794027003987501,0.5904488146926319,0.5958008225868527
10,512,0.5,0.1,0.1,0.75,0.5,1000,0.4,0.5888888888888888,0.748148148148148,0.1592592592592592,0.06818332361396447,0.04057158857885906,0.08046943387455023,0.5592516301450452,0.6274349537590097
10,512,1.0,0.1,0.1,0.75,0.5,1000,0.4,0.5888888888888888,0.748148148148148,0.1592592592592592,0.14438221825407493,0.12344175483237364,0.17965234448856124,0.5056177817459251,0.6500000000000002
10,512,2.0,0.1,0.1,0.75,0.5,1000,0.4,0.5888888888888888,0.748148148148148,0.1592592592592592,0.3172488848947495,0.3042065634485165,0.32914389799635707,0.3327511151052505,0.6500000000000002
10,512,0.0,0.2,0.2,0.75,0.5,1000,0.8,0.5333333333333332,0.8833333333333332,0.35,0.062262462378300396,0.028826169271476576,0.09404469545120092,0.5446825208470171,0.6069449832253174
10,512,0.5,0.2,0.2,0.75,0.5,1000,0.8,0.5333333333333332,0.8833333333333332,0.35,0.10907614173224087,0.09028348965848979,0.14512279810298104,0.5199669655649584,0.6290431072971993
10,512,1.0,0.2,0.2,0.75,0.5,1000,0.8,0.5333333333333332,0.8833333333333332,0.35,0.1864561534429683,0.15281185397214841,0.20178793191613706,0.4635438465570318,0.6500000000000002
10,512,2.0,0.2,0.2,0.75,0.5,1000,0.8,0.5333333333333332,0.8833333333333332,0.35,0.32461784645503555,0.3138888888888889,0.3357704709603793,0.32538215354496447,0.6500000000000002
10,512,0.0,0.3,0.3,0.75,0.5,1000,1.0,0.47777777777777775,1.0,0.5222222222222223,0.11645804279441996,0.10813530791254493,0.12425193882654866,0.5042133535239683,0.6206713963183881
10,512,0.5,0.3,0.3,0.75,0.5,1000,1.0,0.47777777777777775,1.0,0.5222222222222223,0.1631716066335996,0.14644823746212646,0.18016121031746038,0.47444116496535715,0.6376127715989567
10,512,1.0,0.3,0.3,0.75,0.5,1000,1.0,0.47777777777777775,1.0,0.5222222222222223,0.21433617044247436,0.2051958966753183,0.22276382953466284,0.4356638295575257,0.6500000000000002
10,512,2.0,0.3,0.3,0.75,0.5,1000,1.0,0.47777777777777775,1.0,0.5222222222222223,0.3328040012444419,0.322609265856594,0.342650462962963,0.3171959987555581,0.6500000000000002
10,512,0.0,0.0,0.0,0.9,0.5,1000,0.0,0.65,0.6999999999999998,0.04999999999999982,0.050869558678065814,0.01920645545143525,0.08115751557632392,0.6849619036398126,0.6340923449617468
10,512,0.5,0.0,0.0,0.9,0.5,1000,0.0,0.65,0.6999999999999998,0.04999999999999982,0.02142097060708186,0.015277777777777612,0.027072310405643618,0.6707889782771754,0.6500000000000002
10,512,1.0,0.0,0.0,0.9,0.5,1000,0.0,0.65,0.6999999999999998,0.04999999999999982,0.017141717156454957,0.001529058702971825,0.05196953933298661,0.6333232476872398,0.6500000000000002
10,512,2.0,0.0,0.0,0.9,0.5,1000,0.0,0.65,0.6999999999999998,0.04999999999999982,0.18618339683499374,0.15428259247414985,0.24630745203034363,0.46381660316500634,0.6500000000000002
10,512,0.0,0.1,0.1,0.9,0.5,1000,1.0,0.6444444444444444,1.0,0.3555555555555556,0.014555228444346813,0.005555555555555536,0.037087723316536876,0.6376915810425147,0.6431781008236139
