repetition,deployment_winner,empirical_winner,reversal,deployment_gap,empirical_gap,missing_domains,observed_tail,empirical_tail_weight
143,tail_favored,head_favored,1,0.04999999999999993,0.018875893437296898,0,1,0.125
144,tail_favored,head_favored,1,0.04999999999999993,0.04689542483660136,0,1,0.09375
145,tail_favored,tail_favored,0,0.04999999999999993,0.16951447245564888,0,1,0.09375
146,tail_favored,tail_favored,0,0.04999999999999993,0.14803921568627437,0,1,0.25
147,tail_favored,tail_favored,0,0.04999999999999993,0.1926328502415457,0,1,0.21875
148,tail_favored,tail_favored,0,0.04999999999999993,0.01450617283950606,0,1,0.09375
149,tail_favored,tail_favored,0,0.04999999999999993,0.09637410519763451,0,1,0.1875
150,tail_favored,tail_favored,0,0.04999999999999993,0.15493827160493823,0,1,0.09375
151,tail_favored,tail_favored,0,0.04999999999999993,0.05220458553791896,0,1,0.0625
152,tail_favored,head_favored,1,0.04999999999999993,0.027342047930283275,0,1,0.03125
153,tail_favored,tail_favored,0,0.04999999999999993,0.03911630929174781,0,0,0.0
